"???","???????","??????????","?????????????","???????","????????","???????????","???????°æ??????","???????¢¨?","????????????","????????¢¨?","???????","???????????","???????????","????????","?????????","??????????","?????????????","????????????","???•Ë???????","???•Ë????????","??????","????????????","????????????","?????????????","???°æ??¨⁄?","???????(x)","???????(y)","????????????","??????????¨⁄?","???????¨⁄?","??????","???????","???????????","????????","????î≥??","????????","????????","?????","????????","?????????","??????????","?????????","???????","????????","???????","?®˘???","????????","?????????????•Ô?","???????","???????????","????????","?????????","???????????","?????????","?????????","????????????????","?????????????????","?????","???????????","????????????","?•‰???????","??????",
"516","????????","03_11_02_P","4890000","CDFI3261092004000001","2004-11-15","","01","????/????","13","??????","","","","","061-852-1966","","546-804","????? ?????? ?????? ???Ér 795-13????","????? ?????? ?????? ???? 5-56","59448","?????","2014-12-03 16:20:50","I","2018-08-31 23:59:59","","208364.470143637","137529.905083049","????????","","????????","1","???","","","??????","1","","","","Golmangtae Tourist Pension","Tourist Pension","","","","","","","","495.71","","","","","","","","","","","","","496",
"517","????????","03_11_02_P","4890000","CDFI3261092011000001","2011-06-21","","01","????/????","13","??????","","","","","062-522-9600","","","????? ?????? ???? ?????? 732????","????? ?????? ???? ???1?? 47","59471","?????•Â?","2020-03-23 11:21:00","U","2020-03-25 02:40:00","","208534.616828843","130781.209823026","????????","","????????","2","???","","","??????","","","","","BOSEONGLODEM","Tourism  Pension","","","","","","","","164.69","","","","","","","","","","","","","165",
"518","????????","03_11_02_P","4820000","CDFI3261092015000002","2015-08-24","","01","????/????","13","??????","","","","","","","","????? ????? ??îΩ 229????","????? ????? ??????? 686 (??îΩ)","58027","?ïü??","2015-08-24 18:20:58","I","2018-08-31 23:59:59","","246212.847900611","154368.929250146","????????","","???????????","3","???","","","??????? ????(????????????)","3","","","","","","","","","","","","","323.62","","","","","","","","","","","","","324",
"519","????????","03_11_02_P","4820000","CDFI3261092016000001","2016-11-04","","01","????/????","13","??????","","","","","","","","????? ????? ???? ????? 258-3","????? ????? ???? ???? 817-13","58025","JNJ??????","2022-06-30 17:29:00","U","2022-07-02 02:40:00","","248315.16867776","155033.462687218","????????","","????????","2","???","","","??????","2","0","","","JNJ Village","Tourist pension business","","","","","","","","463.56","","","","","","","","","","","","","464",
"520","????????","03_11_02_P","4890000","CDFI3261092018000003","2018-07-25","","01","????/????","13","??????","","","","","","","","????? ?????? ?????? ???? 1065-5????","????? ?????? ?????? ???•Â??? 23","59400","????? ???","2018-07-25 18:52:07","I","2018-08-31 23:59:59","","217862.439658157","162437.918825946","????????","","????????","2","???","","","???????","2","","","","","","","","","","","","","119.24","","","","","","","","","","","","","119",
"521","????????","03_11_02_P","4880000","CDFI3261092014000001","2014-05-27","","01","????/????","13","??????","","","","","","","","????? ???? ???? ???? 280???? ?? 2????(280-11, 277-9)","????? ???? ???? ???????? 1906-17 (?? 2????(280-11, 277-9))","59566","??????????","2017-12-05 15:37:11","I","2018-08-31 23:59:59","","220265.14776405","106255.699025489","????????","","????????","3","???","","","?????????","3","","","","","","","","","","","","","585.9","","","","","","","","","","","","","586",
"522","????????","03_11_02_P","4880000","CDFI3261092018000001","2018-01-08","","01","????/????","13","??????","","","","","","","","????? ???? ???? ???? 277-3????","????? ???? ???? ???????? 1906-12","59566","???????•È?","2018-01-08 18:43:25","I","2018-08-31 23:59:59","","220232.951328517","106313.133955856","????????","","","1","","","","","1","0","","","","","","","","","","","","","","","","","","","","","70000000","","","","",
"523","????????","03_11_02_P","4880000","CDFI3261092018000002","2018-01-24","","01","????/????","13","??????","","","","","","","","????? ???? ???? ???? 277-16????","????? ???? ???? ???????? 1906-9","59566","?Éw??","2018-01-24 16:18:05","I","2018-08-31 23:59:59","","220250.400801237","106354.461976512","????????","","","","","","","","2","","","","","","","","","","","","","115.29","","","","","","","","","150000000","","","","115",
"524","????????","03_11_02_P","4880000","CDFI3261092018000003","2018-03-30","","01","????/????","13","??????","","","","","","","","????? ???? ???? ???? 1001-1","????? ???? ???? ???? 98","59565","?????","2022-01-12 17:37:22","U","2022-01-14 02:40:00","","216211.201698191","110336.494802134","????????","","","4","","","","","4","0","","","","","","","","","","","","686.76","","","","","","","","","400000000","","","","687",
"525","????????","03_11_02_P","4950000","CDFI3261092010000001","2010-06-07","","01","????/????","13","??????","","","","","061-453-5335","","534-832","????? ????? ???? ???? 560????","????? ????? ???? ????? 484","58557","????????","2014-01-06 18:11:27","I","2018-08-31 23:59:59","","143865.439673729","153656.365092865","????????","","????????","1","???","","","??????","1","","","","Haevichi naru","Tourismt Pension","","","","","","","","336.41","","","","","","","","","650000000","","","","336",
"526","????????","03_11_02_P","4950000","CDFI3261092012000002","2012-07-02","","01","????/????","13","??????","","","","","061-454-7878","","534-851","????? ????? ????? ????? 809-54","????? ????? ????? ?????? 118","58534","???? ?? ???????","2020-12-31 10:37:54","U","2021-01-02 02:40:00","","143432.548055377","163919.333927818","????????","","????????","2","???","","","??????","2","0","","","","","","","","","","","","1667.5","","","","","","","","","","","","","1668",
"527","????????","03_11_02_P","4950000","CDFI3261092012000003","2012-12-18","","01","????/????","13","??????","","","","","","","","????? ????? ???? ???•Ë? 669","????? ????? ???? ???? 313-56, 4,5,6,7,8,9,10,12,13,15??","58541","??????? ???","2023-01-13 10:06:25","U","2023-01-15 02:40:00","","144713.529167773","157963.175918823","????????","","????????","1","???","","","??????","1","0","","","","","","","","","","","","197.69","","","","","","","","","700000000","","","","198",
"528","????????","03_11_02_P","4950000","CDFI3261092017000001","2017-11-01","","01","????/????","13","??????","","","","","061-453-3381","","","????? ????? ???? ???? 537-3????","????? ????? ???? ????? 450-42","58557","?? ???????","2017-11-01 10:41:25","I","2018-08-31 23:59:59","","144316.697082366","154257.790541658","????????","","????????","2","???","","","??????","2","","","","","","","","","","","","","415.66","","","","","","","","","","","","","416",
"529","????????","03_11_02_P","4920000","CDFI3261092011000001","2011-09-20","","01","????/????","13","??????","","","","","061-433-6262","","","????? ?????? ????? ???? 83-11???? ??????????????","","","?????????????????","2019-12-31 18:22:33","U","2020-01-02 02:40:00","","178372.58033163","117996.254167402","????????","","","2","","","","","","","","","","","","","","","","","","2568.04","","","","","","","","","600000000","","","","2568",
"530","????????","03_11_02_P","4920000","CDFI3261092015000001","2015-07-15","","01","????/????","13","??????","","","","","061-433-6312","","527-813","????? ?????? ?????? ????? 599???? 3","????? ?????? ?????? ???? 322","59201","???????","2018-11-20 10:47:10","U","2018-11-22 02:36:24","","171744.57550551","138035.084498127","????????","","","1","","","","","","","","","","","","","","","","","","82.79","","","","","","","","","","","","","83",
"531","????????","03_11_02_P","4990000","CDFI3261092011000001","2011-04-07","","01","????/????","13","??????","","","","","","","","????? ????? ???? ???? 568-2????","????? ????? ???? ???4???? 39-1","59136","???????????","2020-04-21 11:41:34","U","2020-04-23 02:40:00","","190333.972391267","95946.8384984718","????????","","????????","1","???","","","??????","1","","","","","","","","","","","","","800","","","","","","","","","1000000000","","","","800",
"532","????????","03_11_02_P","4990000","CDFI3261092011000002","2011-11-07","","01","????/????","13","??????","","","","","554-4445","","537-863","????? ????? ?????? ??? 530-18????","????? ????? ?????? ?????? 415","59146","????????????","2011-11-07 13:34:52","I","2018-08-31 23:59:59","","182680.12620355","93095.1728647582","????????","","????????","3","???","","","??????","3","","","","","","","","","","","","","300.48","","","","","","","","","1000000000","","","","300",
"533","????????","03_11_02_P","4990000","CDFI3261092016000001","2016-09-23","","01","????/????","13","??????","","","","","","","","????? ????? ?????? ??? 530-24","????? ????? ?????? ?????? 415-1","59146","New ?????? ???","2022-01-27 14:49:55","U","2022-01-29 02:40:00","","182687.771906218","93073.2338332717","????????","","","3","","","","??????","3","","","","","","","","","","","","","293.78","","","","","","","","","100000000","","","","294",
"534","????????","03_11_02_P","4990000","CDFI3261092016000002","2016-11-17","","01","????/????","13","??????","","","","","","","","????? ????? ????? ????? 516-8????","????? ????? ????? ????? 1206-41","59160","?????? ???","2016-11-17 16:37:32","I","2018-08-31 23:59:59","","155207.944492554","70148.3290120175","????????","","","2","","","","","2","","","","","","","","","","","","","","","","","","","","","","400000000","","","","",
"535","????????","03_11_02_P","4990000","CDFI3261092017000001","2017-08-03","","01","????/????","13","??????","","","","","061-554-2233","","","????? ????? ????? ??•Ë? 234-8????","????? ????? ????? ???1?? 60-222","59106","??????? ???","2017-08-03 10:32:16","I","2018-08-31 23:59:59","","168953.400980876","94240.5529070152","????????","","","2","","","","","2","","","","","","","","","","","","","132.84","","","","","","","","","400000000","","","","133",
"536","????????","03_11_02_P","4990000","CDFI3261092017000002","2017-11-22","","01","????/????","13","??????","","","","","061-554-1009","","","????? ????? ????? ????? 225-2????","????? ????? ????? ????? 264-10","59162","???????????","2017-11-22 10:38:56","I","2018-08-31 23:59:59","","159606.753365205","71753.6260806657","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1800000000","","","","",
"537","????????","03_11_02_P","5530000","CDFI3261092017000001","2017-03-07","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 40-1","??? ????? ????? ???? 96-19","18553","???????????","2021-12-20 16:05:21","U","2021-12-22 02:40:00","","166764.150384121","407389.345993853","????????","","","3","","","","??????","3","0","0","0","","","0","0","","0","0","","0","323.54","","0","","","","","","","0","","","","324",
"538","????????","03_11_02_P","5530000","CDFI3261092017000002","2017-07-14","","01","????/????","13","??????","","","","","031-356-0838","","","??? ????? ????? ???•Ë? 10-20","??? ????? ????? ????442???? 62-6","18553","???????","2021-12-20 16:06:31","U","2021-12-22 02:40:00","","166921.61548985","407989.596010521","????????","","","2","","","","??????","2","0","0","0","","","0","0","","0","0","","0","285.2","","0","","","","","","","0","","","","285",
"539","????????","03_11_02_P","5530000","CDFI3261092017000003","2017-08-10","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 270-8","??? ????? ????? ???? 377","18553","?????????","2021-12-20 16:07:00","U","2021-12-22 02:40:00","","166186.773053346","408147.714051199","????????","","","3","","","","","0","0","0","0","","","0","0","","0","0","","0","412.49","","0","","","","","","","0","","","","412",
"540","????????","03_11_02_P","5530000","CDFI3261092017000004","2017-08-10","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 103","??? ????? ????? ????178???? 48-7","18553","??????","2021-12-20 16:07:31","U","2021-12-22 02:40:00","","166228.363812239","407237.685927784","????????","","","3","","","","","0","0","0","0","","","0","0","","0","0","","0","320.64","","0","","","","","","","0","","","","321",
"541","????????","03_11_02_P","5530000","CDFI3261092017000006","2017-09-07","","01","????/????","13","??????","","","","","031-355-1126","","","??? ????? ????? ???•Ë? 187 (?? 187-2????)","??? ????? ????? ????178???? 72 (?? ???? 178???? 74)","18553","???????","2023-01-12 13:18:58","U","2023-01-14 02:40:00","","166158.734896478","407475.23248983","????????","","","2","","","","","0","0","0","0","","","0","0","","0","0","","0","341.7","","0","","","","","","","0","","","","342",
"542","????????","03_11_02_P","5530000","CDFI3261092019000002","2019-04-25","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 40-13","??? ????? ????? ???? 116-6","18553","???????(?•È?)","2021-12-20 16:25:03","U","2021-12-22 02:40:00","","166710.177247391","407272.104616875","????????","","","3","","","?????????????????","??????","0","0","0","0","","","0","0","","0","0","","0","298.15","","0","","","","","","","0","","","","298",
"543","????????","03_11_02_P","5530000","CDFI3261092019000003","2019-04-26","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 290-1","??? ????? ????? ???? 353-6","18553","???????","2022-02-11 11:29:11","U","2022-02-13 02:40:00","","165999.459127226","408011.516423623","????????","","","3","","","????????????","??????","0","0","0","0","","","0","0","","0","0","","0","492.69","","0","","","","","","","0","","","","493",
"544","????????","03_11_02_P","5530000","CDFI3261092019000004","2019-04-26","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 290-1","??? ????? ????? ???? 353-6","18553","??????????","2022-02-14 14:51:35","U","2022-02-16 02:40:00","","165999.459127226","408011.516423623","????????","","","3","","","????????????","??????","3","0","0","0","","","0","0","","0","0","","0","582.65","","0","","","","","","","0","","","","583",
"545","????????","03_11_02_P","5530000","CDFI3261092019000005","2019-07-23","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 95","??? ????? ????? ????178???? 48-6, 1??","18553","??????","2021-12-20 16:26:28","U","2021-12-22 02:40:00","","166205.437232837","407201.285173492","????????","","","1","","","","??????","0","0","0","0","","","0","0","","0","0","","0","97.88","","0","","","","","","","100000000","","","","98",
"546","????????","03_11_02_P","5530000","CDFI3261092019000006","2019-11-27","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 190-95","??? ????? ????? ???? 246-3","18553","????????","2021-12-20 16:27:10","U","2021-12-22 02:40:00","","166108.558660819","406925.909451732","????????","","","2","","","?????????????","??????","2","0","0","0","","","0","0","","0","0","","0","236.65","","0","","","","","","","0","","","","237",
"547","????????","03_11_02_P","5530000","CDFI3261092020000001","2020-02-04","","01","????/????","13","??????","","","","","031-356-9400","","","??? ????? ????? ???•Ë? 198-5","??? ????? ????? ????178???? 88","18553","?°¿????","2021-12-20 16:27:52","U","2021-12-22 02:40:00","","166130.153849012","407635.660017112","????????","","","3","","","","??????","3","0","0","0","","","0","0","","0","0","","0","239.8","","0","","","","","","","0","","","","240",
"548","????????","03_11_02_P","5530000","CDFI3261092020000005","2020-06-08","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 79-6","??? ????? ????? ????178???? 12, 2?? 1,2??","18553","???•Ó??????????","2022-02-16 10:00:03","U","2022-02-18 02:40:00","","166219.623324026","406878.717356714","????????","","","2","","","","","2","0","0","0","","","0","0","","0","0","","0","179.09","","0","","","","","","","0","","","","179",
"549","????????","03_11_02_P","5530000","CDFI3261092020000006","2020-07-24","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 290-97","??? ????? ????? ???? 330-1, 2,3??","18553","?És??????","2020-07-28 13:56:42","I","2020-08-05 00:23:26","","166022.253957431","407762.868047249","????????","","","3","","","","","","","","","","","","","","","","","","475.08","","","","","","","","","","","","","475",
"550","????????","03_11_02_P","5530000","CDFI3261092020000007","2020-07-28","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 190-14","??? ????? ????? ???? 238-12, 1?? 2??","18553","?????","2020-07-28 13:55:09","I","2020-08-05 00:23:26","","166170.355427333","406848.989053537","????????","","","2","","","","","","","","","","","","","","","","","","139.88","","","","","","","","","","","","","140",
"551","????????","03_11_02_P","5530000","CDFI3261092017000005","2017-08-14","","01","????/????","13","??????","","","","","031-356-9050","","","??? ????? ????? ???•Ë? 40-5","??? ????? ????? ???? 96-1","18553","??????","2021-12-20 16:08:16","U","2021-12-22 02:40:00","","166820.63672527","407379.727151416","????????","","","2","","","","","0","0","0","0","","","0","0","","0","0","","0","393.12","","0","","","","","","","0","","","","393",
"552","????????","03_11_02_P","5530000","CDFI3261092017000008","2017-10-18","","01","????/????","13","??????","","","","","031-357-7775","","","??? ????? ????? ???•Ë? 76","??? ????? ????? ???•Ë??? 165","18553","????????","2021-12-20 16:10:08","U","2021-12-22 02:40:00","","166246.812070974","407062.811457192","????????","","","2","","","???????(?•Ô???)","","0","0","0","0","","","0","0","","0","0","","0","685.34","","0","","","","","","","0","","","","685",
"553","????????","03_11_02_P","5530000","CDFI3261092017000009","2017-11-30","","01","????/????","13","??????","","","","","031-357-8326","","","??? ????? ????? ???•Ë? 288-58 ?? ???•Ë? 288-100","??? ????? ????? ???? 412-13 (?? 1 (???? 412-19))","18553","????? ??©§???","2023-01-12 13:19:35","U","2023-01-14 02:40:00","","166520.605652655","408301.984040398","????????","","","2","","","","","2","0","0","0","","","0","0","","0","0","","0","445.35","","0","","","","","","","0","","","","445",
"554","????????","03_11_02_P","5530000","CDFI3261092017000010","2017-12-08","","01","????/????","13","??????","","","","","031-355-4403","","","??? ????? ????? ???•Ë? 288-12","??? ????? ????? ???? 412-10","18553","??????????2","2021-12-20 16:11:12","U","2021-12-22 02:40:00","","166462.888880065","408316.077131536","????????","","","2","","","","","2","0","0","0","","","0","0","","0","0","","0","245.07","","0","","","","","","","0","","","","245",
"555","????????","03_11_02_P","5530000","CDFI3261092018000008","2018-10-04","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 288-121","??? ????? ????? ???? 391-10","18553","???±ÿ???(?????)","2021-12-20 16:16:17","U","2021-12-22 02:40:00","","166221.146154518","408258.993916722","????????","","","3","","","????????????","","0","0","0","0","","","0","0","","0","0","","0","1288.91","","0","","","","","","","0","","","","1289",
"556","????????","03_11_02_P","5530000","CDFI3261092018000009","2018-10-04","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 186-1","??? ????? ????? ????178???? 70","18553","???©¶??","2021-12-20 16:17:28","U","2021-12-22 02:40:00","","166165.681368981","407454.344797714","????????","","","1","","","???????????????????","","0","0","0","0","","","0","0","","0","0","","0","106.3","","0","","","","","","","0","","","","106",
"557","????????","03_11_02_P","5530000","CDFI3261092018000010","2018-10-08","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 40-8","??? ????? ????? ???? 102-4","18553","????102","2021-12-20 16:18:21","U","2021-12-22 02:40:00","","166789.028843049","407352.004845126","????????","","","4","","","?????????????????","","0","0","0","0","","","0","0","","0","0","","0","789.76","","0","","","","","","","0","","","","790",
"558","????????","03_11_02_P","5530000","CDFI3261092018000001","2018-03-16","","01","????/????","13","??????","","","","","031-355-6250","","","??? ????? ????? ???•Ë? 42-15","??? ????? ????? ???? 150","18553","?????????","2021-12-20 16:12:52","U","2021-12-22 02:40:00","","166481.279010393","407008.844600958","????????","","","3","","","?????????????????","","3","0","0","0","","","0","0","","0","0","","0","326.18","","0","","","","","","","0","","","","326",
"559","????????","03_11_02_P","5530000","CDFI3261092018000002","2018-04-24","","01","????/????","13","??????","","","","","031-357-3717","","","??? ????? ????? ???•Ë? 96","??? ????? ????? ????178???? 40","18553","??????????","2021-12-20 16:13:29","U","2021-12-22 02:40:00","","166204.971154148","407160.240538658","????????","","","2","","","????????????","","2","0","0","0","","","0","0","","0","0","","0","238.28","","0","","","","","","","0","","","","238",
"560","????????","03_11_02_P","5530000","CDFI3261092018000003","2018-04-26","","01","????/????","13","??????","","","","","031-355-3399","","","??? ????? ????? ???•Ë? 102","??? ????? ????? ????178???? 50","18553","???????","2022-02-21 09:40:51","U","2022-02-23 02:40:00","","166190.61564341","407249.041117098","????????","","","2","","","?????????????????","","2","0","0","0","","","0","0","","0","0","","0","394.56","","0","","","","","","","0","","","","395",
"561","????????","03_11_02_P","5530000","CDFI3261092018000004","2018-06-14","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 190-191","??? ????? ????? ???? 272","18553","?????","2021-12-20 16:14:28","U","2021-12-22 02:40:00","","166104.260439886","407180.300569373","????????","","","3","","","?????????????????","","0","0","0","0","","","0","0","","0","0","","0","534.33","","0","","","","","","","0","","","","534",
"562","????????","03_11_02_P","5530000","CDFI3261092018000005","2018-07-09","","01","????/????","13","??????","","","","","031-355-0593","","","??? ????? ????? ???•Ë? 190-101","??? ????? ????? ???? 246-10","18553","??????≤J","2021-12-20 16:15:03","U","2021-12-22 02:40:00","","166152.435380321","406895.843925501","????????","","","4","","","?£⁄???","","4","0","0","0","","","0","0","","0","0","","0","344.7","","0","","","","","","","0","","","","345",
"563","????????","03_11_02_P","5530000","CDFI3261092018000006","2018-09-18","","01","????/????","13","??????","","","","","031-355-0271","","","??? ????? ????? ???•Ë? 198-6","??? ????? ????? ????178???? 96","18553","??????????•È?","2021-12-20 16:15:26","U","2021-12-22 02:40:00","","166133.398427111","407705.74054242","????????","","","1","","","????????????","","0","0","0","0","","","0","0","","0","0","","0","185.25","","0","","","","","","","0","","","","185",
"564","????????","03_11_02_P","5530000","CDFI3261092018000007","2018-10-04","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 288-106","??? ????? ????? ???? 391","18553","???±ÿ???(???)","2023-01-12 10:50:31","U","2023-01-14 02:40:00","","166265.780988114","408244.333753446","????????","","","2","","","?????????????","","0","0","0","0","","","0","0","","0","0","","0","668.02","","0","","","","","","","0","","","","668",
"565","????????","03_11_02_P","5530000","CDFI3261092018000011","2018-10-18","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 42-7","??? ????? ????? ???? 144","18553","?????????","2021-12-20 16:18:48","U","2021-12-22 02:40:00","","166502.943513569","407035.413476916","????????","","","3","","","?????????????????","","0","0","0","0","","","0","0","","0","0","","0","479.03","","0","","","","","","","0","","","","479",
"566","????????","03_11_02_P","5530000","CDFI3261092018000012","2018-11-23","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 120","??? ????? ????? ????178???? 70-12, 1, 2??","18553","?•Â?????","2021-12-20 16:19:17","U","2021-12-22 02:40:00","","166243.366238974","407388.282408714","????????","","","2","","","????????????","","0","0","0","0","","","0","0","","0","0","","0","300.03","","0","","","","","","","0","","","","300",
"567","????????","03_11_02_P","5530000","CDFI3261092018000013","2018-11-23","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 270-6","??? ????? ????? ???? 381, B?? 1??","18553","?????????????","2021-12-20 16:19:57","U","2021-12-22 02:40:00","","166212.521312901","408170.107073725","????????","","","1","","","?????????????????","","0","0","0","0","","","0","0","","0","0","","0","82.65","","0","","","","","","","0","","","","83",
"568","????????","03_11_02_P","5530000","CDFI3261092018000014","2018-11-26","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 190-81","??? ????? ????? ????178???? 57","18553","?????? 2","2021-12-20 16:20:33","U","2021-12-22 02:40:00","","166111.897796238","407316.862660242","????????","","","1","","","?£⁄???","","0","0","0","0","","","0","0","","0","0","","0","126.36","","0","","","","","","","0","","","","126",
"569","????????","03_11_02_P","5530000","CDFI3261092018000015","2018-11-26","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 190-81","??? ????? ????? ????178???? 57","18553","?????? 1","2021-12-20 16:21:05","U","2021-12-22 02:40:00","","166111.897796238","407316.862660242","????????","","","1","","","?£⁄???","","0","0","0","0","","","0","0","","0","0","","0","87.12","","0","","","","","","","0","","","","87",
"570","????????","03_11_02_P","5530000","CDFI3261092018000016","2018-12-18","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 10-2","??? ????? ????? ????442???? 52, 1??","18553","??????? 2","2021-12-20 16:23:44","U","2021-12-22 02:40:00","","166779.064558007","408016.522188049","????????","","","2","","","KB???????","","0","0","0","0","","","0","0","","0","0","","0","262.08","","0","","","","","","","0","","","","262",
"571","????????","03_11_02_P","5530000","CDFI3261092018000017","2018-12-18","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 10-25","??? ????? ????? ????442???? 46","18553","??????? 1","2021-12-20 16:24:09","U","2021-12-22 02:40:00","","166756.374161443","407990.230203756","????????","","","2","","","KB???????","","0","0","0","0","","","0","0","","0","0","","0","291.14","","0","","","","","","","0","","","","291",
"572","????????","03_11_02_P","5530000","CDFI3261092019000001","2019-02-14","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 40-14","??? ????? ????? ???? 114, 1?? 1, 2, 3??","18553","?????????","2021-12-20 16:22:02","U","2021-12-22 02:40:00","","166723.871318096","407258.931654978","????????","","","3","","","???????????????????","","0","0","0","0","","","0","0","","0","0","","0","354.27","","0","","","","","","","0","","","","354",
"573","????????","03_11_02_P","5530000","CDFI3261092020000002","2020-02-17","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 217-2","??? ????? ????? ????386???? 50-1","18553","???•Â???????????ØÉ???","2021-12-20 16:28:25","U","2021-12-22 02:40:00","","166453.74108866","407719.764927277","????????","","","2","","","","","2","0","0","0","","","0","0","","0","0","","0","81.15","","0","","","","","","","0","","","","81",
"574","????????","03_11_02_P","5530000","CDFI3261092020000003","2020-04-16","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 190-150","??? ????? ????? ???? 266-11","18553","??????≤J","2021-12-20 16:29:13","U","2021-12-22 02:40:00","","166152.644604455","407129.034147258","????????","","","3","","","","","0","0","0","0","","","0","0","","0","0","","0","207.15","","0","","","","","","","0","","","","207",
"575","????????","03_11_02_P","5530000","CDFI3261092020000004","2020-05-29","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 190-28","??? ????? ????? ???? 306-3","18553","???????","2022-02-16 09:45:35","U","2022-02-18 02:40:00","","166045.422777704","407534.600816229","????????","","","3","","","","","0","0","0","0","","","0","0","","0","0","","0","346.72","","0","","","","","","","0","","","","347",
"576","????????","03_11_02_P","5530000","CDFI3261092017000007","2017-09-21","","01","????/????","13","??????","","","","","","","","??? ????? ????? ???•Ë? 41-1","??? ????? ????? ???? 116-7","18553","??????","2021-12-20 16:09:27","U","2021-12-22 02:40:00","","166658.954922352","407290.655345924","????????","","","3","","","","","0","0","0","0","","","0","0","","0","0","","0","355.56","","0","","","","","","","0","","","","356",
"577","????????","03_11_02_P","4500000","CDFI3261092020000001","2020-02-25","","01","????/????","13","??????","","","","","","","","??????? ????? ?????? ?¨‹??? 724????","??????? ????? ?????? ?????? 6","32626","????????","2020-02-25 17:10:31","I","2020-02-27 00:23:23","","221164.742219764","317524.28619141","????????","","","3","","","","??????","2","1","","","","","","","","","","","","1754.22","","","","","","","","","3000000000","","","","1754",
"578","????????","03_11_02_P","4500000","CDFI3261092020000002","2020-02-25","","01","????/????","13","??????","","","","","041-852-1946","","","??????? ????? ?????? 473????","??????? ????? ??????? 47-7 (??????)","32592","???????","2020-02-25 17:12:53","I","2020-02-27 00:23:23","","214701.293222963","328141.886137537","????????","","","2","","","","???????","2","","","","","","","","","","","","","177.47","","","","","","","","","","","","","177",
"579","????????","03_11_02_P","5430000","CDFI3261092020000001","2020-01-21","","01","????/????","13","??????","","","","","","","","???? ????? ???? ???? 1138????","???? ????? ???? ??????? 1462","52410","???????","2020-01-21 13:33:46","I","2020-01-23 00:23:24","","276421.199592161","144432.297390515","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"580","????????","03_11_02_P","4620000","CDFI3261092020000002","2020-03-24","","01","????/????","13","??????","","","","","","","","??????? ?®˙?? ????? ??•Ë? 1233-32????","??????? ?®˙?? ????? ???????? 39-4","32108","???????????","2020-03-24 20:07:25","I","2020-03-26 00:23:37","","127092.399066322","370229.140020791","????????","","","2","","","","","2","","","","","","","","","","","","","","","","","","","","","","2000000000","","","","",
"581","????????","03_11_02_P","5010000","CDFI3261092020000001","2020-02-26","","01","????/????","13","??????","","","","","","","","????? ???? ???? ???Ér 179-1????","????? ???? ???? ???????? 12, ???????","58844","???????","2020-02-26 08:21:37","I","2020-02-28 00:23:23","","108203.176607186","140826.094144365","????????","","????????","3","???","","","??????","3","0","","","","","","","","","","","","96.5","","","","","","","","","","","","","97",
"582","????????","03_11_02_P","4230000","CDFI3261092020000001","2020-01-10","","01","????/????","13","??????","","","","","","","","?????? ????? ?????? 1413-1????","?????? ????? ?????2?? 7 (??????)","24902","????????≤J","2020-01-10 16:33:48","I","2020-01-12 00:23:25","","339663.299122116","518962.409516809","????????","","???????????","","???","","","","","","","","","","","","","","","","","189","","","","","","","","","10000000","","","","189",
"583","????????","03_11_02_P","4620000","CDFI3261092020000001","2020-03-09","","01","????/????","13","??????","","","","","","","","??????? ?®˙?? ???? ???Ér 967????","??????? ?®˙?? ???? ???? 56-19","32152","????¨Ÿ?","2020-03-09 18:35:25","I","2020-03-11 00:23:22","","135785.061822473","354304.802561006","????????","","","2","","","","","2","","","","","","","","","","","","","2314","","","","","","","","","100000000","","","","2314",
